User,arroba,hora de publicación,publicación
Victor,@Victor11878,1h,"""Saluden a los observadores de la Coalición. Aquí en Miguel Hidalgo hay 8 de Morena y solo 1 del PAN. #XochitlGálvezPresidenta"""
Paloma 🇲🇽❤🇲🇽,@Edalimx,13h,"""Tengo nervios y miedo pero mucha esperanza. Vamos a ganar. #XochitlGálvezPresidenta #VotaSinMiedo"""
Ernesto Castrejon Ruiz,@ErnestoCastre12,1h,"""Cumpliendo con mi México, ya votamos toda mi familia y yo. Salvemos a México. #XochitlGálvezPresidenta"""
Verónica X 🍎,@draveropdeg,1h,"""Que alivio que ya se va. #XochitlGálvezPresidenta"""
Laura 🌸,@LauraMex,6min,"""Hoy todos somos soldados defendiendo nuestra Democracia. #EleccionesMéxico2024 #XochitlGálvezPresidenta"""
Ricardito,@RicarditoAnaya,27feb,"""El de López Obrador pasará a la historia como el Gobierno que entregó México al Crimen Org.! #XochitlGálvezPresidenta"""
Alfebucateca,@alfebucateca1,30feb,"""Entiende estas elecciones. Todos a salir a votar. #XochitlGálvezPresidenta #ByeByeMorena"""
Mrs. Hyde,@MrsHydeMEX,3h,"""Laptop, cargadores, lentes, camiseta. Listo para llevar a @XochitlGalvez. #XochitlGálvezPresidenta"""
Germán Renko,@ArkRenko,45min,"""Vota sin miedo. No les va a alcanzar ni todo el dinero que se robaron. #XochitlGálvezPresidenta"""
Juan Carlos,@JuanCarM17,26feb,"""Votemos masivamente por @XochitlGalvez para recuperar México. #XochitlGálvezPresidenta"""
DAN🏅🩷,@artdesing16_2,29feb,"""Vamos Xóchitl Lovers del #EdoMéx. Nuestra meta no es imposible. #XochitlGálvezPresidenta"""
Jacqueline Ramírez,@JacquelineRamr1,22min,"""Hay que cuidar mucho a la futura #ClaudiaPresidentaDeMéxico2024"""
Bruja Cósmica de los Salchis,@indraelephant8,51min,"""Hoy es el gran día. #ClaudiaPresidentaDeMéxico2024"""
arturo sanchez ramos,@arthursanchez1,14min,"""Vamos por el plan C. Vamos por la verdadera democracia. #ClaudiaPresidentaDeMéxico2024"""
Leo,@MLeitoR,34min,"""Listo con todo mi Chairo Corazón. #ClaudiaPresidentaDeMéxico2024 #PlanC"""
arturo sanchez ramos,@arthursanchez1,7min,"""Vamos por el plan C. Vamos por la verdadera democracia. #ClaudiaPresidentaDeMéxico2024"""
Mary Villa🍁☘,@marycielovilla,3h,"""A repetir la historia amigos. Hoy lo haremos de nuevo. #ClaudiaPresidentaDeMéxico2024"""
Ana Martínez,@anylaump,22min,"""Mi voto es para @Claudiashein. #ClaudiaPresidentaDeMéxico2024"""
Esteban Rivera,@0Ultranietzsche,23min,"""Hoy he ejercido mi voto por Claudia Sheinbaum. #ClaudiaPresidentaDeMéxico2024"""
chapopote,@chapopote12,24min,"""Cumpliendo con el deber. Que nunca vuelvan los corruptos. #ClaudiaPresidentaDeMéxico2024"""
Karla oropeza,@kr_oropeza,29feb,"""Cansadas y cansados de sus amiguismos con narcotraficantes. #ClaudiaPresidentaDeMéxico2024"""
Sergio Angelo,@soysergioangelo,1h,"""Haz que tu voz cuente. #ClaudiaPresidentaDeMéxico2024"""
Pedro Tomás Zepeda,@PedroTomasZ,23h,"""Querido @epigmenioibarra imágenes emotivas del #CierreDeCampaña. #ClaudiaPresidentaDeMéxico2024"""
Edys,@Edy5mentarios,35min,"""Esperemos que en Gto saquen al corrupto PAN. #ClaudiaPresidentaDeMéxico2024"""
El gato político,@elgatopolitico_,15min,"""Llega a votar nuestra próxima presidenta, Claudia Sheinbaum. #ClaudiaPresidentaDeMéxico2024"""
DVD 📀,@0k_dvd,19min,"""Haciendo patria. #ClaudiaPresidentaDeMéxico2024"""
Ale Afeba,@AleAfeba_21,32min,"""Mi voto para Claudia. #ClaudiaPresidentaDeMéxico2024"""
Sergio Álvarez,@SergioAlvarez4T,1h,"""Que nunca más Televisa persuada en el voto. #ClaudiaPresidentaDeMéxico2024"""
kompi 🇲🇽,@kompi1570,3min,"""Listo. #PlanC_YaEstáEnMarcha #ClaudiaPresidentaDeMéxico2024"""
