User,arroba,hora de publicación,publicación
CoinGard,@CoinGard,29min,"""En respuesta a @ClaudDelgadillo Las lágrimas de chairo saben mejor frías 🧊🧊 #YoVotéPorXochitl #yovoteporlemus"""
@Yodefiendoami🇲🇽,@1017Mimiaviles,31min,"""En respuesta a @DiazGonzalo55 Siii #YoVotéPorXóchitl"""
JuanBoSox,@Juan28Garrido,31min,"""#YoVotéPorXóchitl #XochitlGálvezPresidenta24"""
Javier Higuera,@javierantemio,31min,"""#YoVotéPorXochitl cuenten bien!!"""
Dama de Hierro,@Dama_de_Hierro3,31min,"""#YoVotéPorXochitl 🇲🇽🫶🏼🌹🚴🏼‍♀️🦋💖🤞🏼"""
Luis Carlos 🇲🇽🇺🇦,@LuisCaGtz,31min,"""¡Aún estamos a tiempo! #YoVotéPorXóchitl"""
Gabriela Carpio,@Gabriel36195530,31min,"""#YoVotéPorXóchitl"""
Vivi,@viviisg,31min,"""Mi limonada dice por quien voté 🤭 #YoVotéPorXóchitl"""
Nora Guillen,@NoraGuillen1,32min,"""En respuesta a @MaxKaiser75 #YoVotarePorXóchitl #YoVotéPorXochitl"""
Ana Diaz,@CieloADT,33min,"""#YoVotéPorXóchitl"""
Ezequiel,@EzequielZambada,34min,"""Por México y por la libertad, la SCJN y la constitución No se tocan #YoVotéPorXóchitl"""
Betzabe,@bxtzxbx___,34min,"""🩷 #YoVotéPorXóchitl"""
norali garcia,@norali_mty,34min,"""#EleccionesMéxico2024 #XoxhitlGálvezPresidente2024 #YoVotéPorXochitl"""
CarlosOficial,@carlos_jerez,35min,"""En respuesta a @Xochitl2024 #YoVotéPorXochitl"""
Ericktrocitoo 💙🤞🏼,@ericktrocitoo,36min,"""#YoVotéPorXóchitl 🇲🇽🙌🏼"""
Ariadna,@Centauro2611,36min,"""#YoVotéPorXóchitl"""
Erick Zapata,@ErickZapataH,37min,"""#EleccionesMx20224 #EleccionesMexico2024 #Yovoteporxochitl #XóchitlGalvezPresidenta2024 #EsHonorEstarConObrador #XochitlGálvezPresidenta #XochitlYaGanó"""
Víc perez,@VikPerez28,37min,"""#YoVotéPorXóchitl desde Torreón coahuila con Xochitl, saquemos a Narco-morena🤮"""
El Gabo Rodriguez,@OficialGaboRod1,38min,"""#YoVotéPorXóchitl a la verga con la puta de shitbaum y mugrena"""
Marvs,@marveenken,39min,"""El voto es libre y secreto pero para nadie es un secreto que #YoVotéPorXóchitl"""
Triana 🜏,@thenotoriuslevi,40min,"""Si lo sabe Dios, que lo sepa el mundo #YoVotéPorXóchitl #XochitlGálvezPresidenta #EleccionesMéxico2024"""
Yazvel,@yazvel0907,40min,"""Vamos Xóchitl 🗳️🤙🏻 #YoVotéPorXóchitl"""
Gerardo Hernández Dávalos,@Gerardo65456906,40min,"""En respuesta a @MaxKaiser75 #yavotéporxóchitl #YoVotéPorXóchitl #YoYaVotéXXóchitl #XoxhitlGálvezPresidente2024"""
Chiquilin 🇲🇽,@Chiquilin542,41min,"""Listo mi Raza, Misión cumplida!! Vine expresamente desde NY, para apoyar a Nuestra esperanza y próxima presidenta de MÉXICO @Xochitl2024 #YoVotéPorXochitl"""
Ꝉօմìҽ Ɱ×,@quadra_mx,43min,"""En respuesta a @SLP_Today #YoVotéPorXochitl 🤞 #EleccionesMéxico2024 🗳 🇲🇽"""
Gaston Sanchez,@sanc88348,43min,"""Voté temprano para poder dar una vuelta por el rancho y darme cuenta que esta vez si lo tomamos un poquito más en serio. #EleccionesMéxico2024 #YoVotéPorXochitl"""
Glo ★,@GloRieta_M,29s,"""#EleccionesMéxico2024 #YaVotéporClaudiaShenbaum #EsClaudiaPresidentaDeMéxico 😊"""
As Tamariz,@AsTamariz,47s,"""Con la enorme satisfacción de hacer historia con la primera Presidenta de México @Claudiashein #SigamosHaciendoHistoria #ClaudiaPresidentaDeMéxico2024"""
ΛʙʀΛʜΛᴍ carrizosa ᴠ ⌬ 🍒,@CAbrahamV,54s,"""Llevo esperando seis años este bendito momento; ahora sí, a chsm MORENA #XochitlGálvezPresidente24 #EleccionesMéxico2024"""
Pepemi,@pepemi_R,56s,"""#EleccionesMéxico2024 #YoVotéPorXóchitl por un mejor México 🇲🇽"""
Nahomy HG,@HurtNahomy,1min,"""#YoVotéPorXochitl #EleccionesMéxico2024 Mi flaquito y yo ya votamos"""
Alfonso Garcia,@PonchoGarcia89,1min,"""Maynez, Maynez Maynez Presidente 🎶🎶 #EleccionesMéxico2024"""
Xris,@xstian_m,1min,"""Adiós a los Narco delincuentes de #morenadestruyendoaméxico #EleccionesMéxico2024 #XóchitlGálvezPresidenta #YoVotéPorXochitl"""
Raquel Sanji,@SanjiRaquel,1min,"""#EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024 Mi voto es libre más no secreto"""
JuanMan,@manuelpyy,2min,"""Listo, que lindo es haber cumplido con mi país y con mi deber ciudadano. Anótenle mi voto a Xochitl, carajo!! #EleccionesMéxico2024 #XóchitlGálvezPresidenta"""
Liza,@yairzah,6min,"""Plan C. #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024"""
