User,arroba,hora de publicación,publicación
DAN🏅🩷,@artdesing16_2,08:47,"""Vamos Xóchitl Lovers del #EdoMéx. Nuestra meta no es imposible. #XochitlGálvezPresidenta"""
Jacqueline Ramírez,@JacquelineRamr1,08:38,"""Hay que cuidar mucho a la futura #ClaudiaPresidentaDeMéxico2024"""
Bruja Cósmica de los Salchis,@indraelephant8,08:09,"""Hoy es el gran día. #ClaudiaPresidentaDeMéxico2024"""
arturo sanchez ramos,@arthursanchez1,08:46,"""Vamos por el plan C. Vamos por la verdadera democracia. #ClaudiaPresidentaDeMéxico2024"""
Leo,@MLeitoR,08:26,"""Listo con todo mi Chairo Corazón. #ClaudiaPresidentaDeMéxico2024 #PlanC"""
arturo sanchez ramos,@arthursanchez1,08:53,"""Vamos por el plan C. Vamos por la verdadera democracia. #ClaudiaPresidentaDeMéxico2024"""
Mary Villa🍁☘,@marycielovilla,08:40,"""A repetir la historia amigos. Hoy lo haremos de nuevo. #ClaudiaPresidentaDeMéxico2024"""
Ana Martínez,@anylaump,08:38,"""Mi voto es para @Claudiashein. #ClaudiaPresidentaDeMéxico2024"""
Esteban Rivera,@0Ultranietzsche,08:37,"""Hoy he ejercido mi voto por Claudia Sheinbaum. #ClaudiaPresidentaDeMéxico2024"""
chapopote,@chapopote12,08:36,"""Cumpliendo con el deber. Que nunca vuelvan los corruptos. #ClaudiaPresidentaDeMéxico2024"""
Karla oropeza,@kr_oropeza,08:04,"""Cansadas y cansados de sus amiguismos con narcotraficantes. #ClaudiaPresidentaDeMéxico2024"""
Sergio Angelo,@soysergioangelo,08:08,"""Haz que tu voz cuente. #ClaudiaPresidentaDeMéxico2024"""
Pedro Tomás Zepeda,@PedroTomasZ,08:15,"""Querido @epigmenioibarra imágenes emotivas del #CierreDeCampaña. #ClaudiaPresidentaDeMéxico2024"""
Edys,@Edy5mentarios,08:25,"""Esperemos que en Gto saquen al corrupto PAN. #ClaudiaPresidentaDeMéxico2024"""
El gato político,@elgatopolitico_,08:45,"""Llega a votar nuestra próxima presidenta, Claudia Sheinbaum. #ClaudiaPresidentaDeMéxico2024"""
DVD 📀,@0k_dvd,08:41,"""Haciendo patria. #ClaudiaPresidentaDeMéxico2024"""
Ale Afeba,@AleAfeba_21,08:28,"""Mi voto para Claudia. #ClaudiaPresidentaDeMéxico2024"""
Sergio Álvarez,@SergioAlvarez4T,08:29,"""Que nunca más Televisa persuada en el voto. #ClaudiaPresidentaDeMéxico2024"""
kompi 🇲🇽,@kompi1570,08:57,"""Listo. #PlanC_YaEstáEnMarcha #ClaudiaPresidentaDeMéxico2024"""
rené ostos 🇵🇸,@Ostoyevski,08:26,"""Va por todos. #ClaudiaPresidentaDeMéxico2024"""
Alex 🇵🇸,@fabsmtz82,08:17,"""#ClaudiaPresidentaDeMéxico2024"""
