"num_debate","canal","username","fecha","comentario","num_likes","comentario_editado"
"1.0","unotv","MariaGonzalez-lu9id","07/04/2024","CLAUDIA TÉ BENDIGO YO SOY DÍOS VIVÓ DISE DÍOS YO ESTARÉ CON TIGO CÓMO LO ESTUVE CON MOSES Y YO BENDIGO A CLAUDIA EN ÉL NOMBRE DÉ JESÚS ÚNICO DÍOS VIVÓ DÍOS ASÉ SABIOS A LOS QUÉ NO SABEN PARÁ ABERGOSAR A LOS SABIOS  DÍOS JESÚS ÚNICO SALVADOR ES ÉL DUEÑO DÉ LA SABIDURIA Y DÍOS ESTÁ CON CON LA PRESIDENTA QUÉ DÍOS VÁ A ELEJIR PORQUÉ DÍOS CONOSE ÉL CORAZÓN BUENO Y MALO","0.0","claudia té bendigo yo soy díos vivó dise díos yo estaré con tigo cómo lo estuve con moses y yo bendigo a claudia en él nombre de jesús único díos vivó díos hace sabios a los qué no saben pará abergosar a los sabios díos jesús único salvador es él dueño de la sabiduria y díos está con con la presidenta qué díos vá a elejir porqué díos conose él corazón bueno y malo"
"1.0","unotv","gaomu4376","07/04/2024","Qué transparencia podría tener Claudia si reniega de su ascendencia judía por conveniencia política?","0.0","qué transparencia podría tener claudia si reniega de su ascendencia judía por conveniencia política?"
"1.0","unotv","sergei_mikhailovich","07/04/2024","Nomás me convencí aún más de anular mi voto. Ni a cual irle, l@s tres candidat@s dan asco.","0.0","nomás me convencí aún más de anular mi voto.ni a cual irle,l@s tres candidat@s dan asco."
"1.0","unotv","soniaperez8259","07/04/2024","Pues Claudia está bien para k aya seriedad y no de pura risa","0.0","pues claudia está bien para que haya seriedad y no de pura risa"
"1.0","unotv","hagarmaatougui4658","07/04/2024","Ojala hubiera ganado Verastegui...","0.0","ojala hubiera ganado verastegui..."
"1.0","unotv","CarlosalonzoGomez","07/04/2024","Esa mensa puro decir que Claudia no tiene corazón si no tu viera no estuviera hablando su madre ahí","0.0","esa mensa puro decir que claudia no tiene corazón si no tu viera no estuviera hablando su madre ahí"
"1.0","unotv","leatherface0770","07/04/2024","Claudia mi voto es tuyo","1.0","claudia mi voto es tuyo"
"1.0","unotv","NEKSRUDE","07/04/2024","Me convenció movimiento ciudadano","0.0","me convenció movimiento ciudadano"
"1.0","unotv","danielavina5959","07/04/2024","Mexico necesita un presidente como bukele oh como putin no ah ninguno de estos 3 payasos","0.0","mexico necesita un presidente como bukele oh como putin no ah ninguno de estos 3 payasos"
"1.0","unotv","reinomarino.4771","07/04/2024","Claudia se encargó de sus propuestas, la otra señora puros ataques y a hablar de robótica e inteligencia artificial. No sabe decir otra cosa.","0.0","claudia se encargó de sus propuestas,la otra señora puros ataques y a hablar de robótica e inteligencia artificial.no sabe decir otra cosa."
"1.0","unotv","NellyDa-lk8kz","07/04/2024","Xochitl, voto por ti por qué creo en ti, en que mis hijos sean libres y vivan seguros.","0.0","xochitl,voto por ti por qué creo en ti,en que mms hijos sean libres y vivan seguros."
"1.0","unotv","samuelalejandromartinezzun3310","07/04/2024","Como que los niños usen falda. No invente Sheinbaum.","0.0","como que los niños usen falda.no invente sheinbaum."
"1.0","unotv","argedominguez5887","07/04/2024","La salud fue un rubro en el cual morena queda mal parado, tiene razon Xóchitl.","0.0","la salud fue un rubro en el cual morena queda mal parado,tiene razon xochitl."
"1.0","unotv","liligogo1932","07/04/2024","Nunca la momia explicó lo que Xóchitl le cuestionó, vamos con Xóchitl","0.0","nunca la momia explicó lo que xochitl le cuestionó,vamos con xochitl"
"1.0","unotv","CelinaRomanGonzalez-iu2zd","07/04/2024","La realidad Claudia es que no hay medicamentos, sobretodo la megafarmacia fué un fracaso y quitarles el tratamiento a los enfermos de cáncer es inhumano. Claudia y si no hiciste nada no lo harás tuvieron su oportunidad.","0.0","la realidad claudia es que no hay medicamentos,sobretodo la megafarmacia fué un fracaso y quitarles el tratamiento a los enfermos de cáncer es inhumano.claudia y si no hiciste nada no lo harás tuvieron su oportunidad."
"1.0","unotv","MarcelaMendoza-ch3qv","07/04/2024","Vamos Xochitl tu puedes México te necesita","0.0","vamos xochitl tu puedes méxico te necesita"
"1.0","unotv","victorfalcon6572","07/04/2024","Voy con mainez!!","0.0","oye con maynez!!"
"1.0","unotv","Posie-yb7os","07/04/2024","lenguaje corporal de claudia cero confiable... CERO!","0.0","lenguaje corporal de claudia cero confiable...cero!"
"1.0","unotv","alejandrodegh2048","07/04/2024","Votemos por Maynez","0.0","votemos por maynez"
"1.0","unotv","samuelalejandromartinezzun3310","07/04/2024","Sheinbaum es la mejor en materia económica pero lamentablemente tiene ideas bien pendejas sobre la libre autodeterminacion de la personalidad","0.0","sheinbaum es la mejor en materia económica pero lamentablemente tiene ideas bien pendejas sobre la libre autodeterminacion de la personalidad"
"1.0","unotv","Los_rules_edits11","07/04/2024","TE AMO MAYNEZ","0.0","te amo maynez"
"1.0","unotv","user-yc6nj4dp1g","07/04/2024","Muy bien por Claudia, ni siquiera se molesta por mencionar el nombre de esa ignorante,","0.0","muy bien por claudia,ni siquiera se molesta por mencionar el nombre de esa ignorante,"
"1.0","unotv","devianaaguilardanielantoli3868","07/04/2024","Mainez para presidente","0.0","maynez para presidente"
"1.0","unotv","leatherface0770","07/04/2024","1.- Claudia  2.- jorge m. 3- Xóchitl","1.0","1.-claudia 2.-jorge m.3-xochitl"
"1.0","unotv","elpanacriseditzop2908","07/04/2024","Va a ganar maynez","0.0","va a ganar maynez"
"1.0","unotv","JorgeHERNANDEZ-fz4tt","07/04/2024","Maynez presidente MC","0.0","maynez presidente mc"
"1.0","unotv","nenuco5450","07/04/2024","Maynez es el joker","0.0","maynez es el joker"
"1.0","unotv","ContadoresMonterrey","07/04/2024","Claudia vive en el país de las maravillas jajaja para ella todo está perfecto","1.0","claudia vive en el país de las maravillas jajaja para ella todo está perfecto"
"1.0","unotv","LALAPUTAMAD-li8qi","07/04/2024","Estas dos mujeres no me representan, terrible, terrible.","0.0","estas dos mujeres no me representan,terrible,terrible."
"1.0","unotv","KarlaArvizu-hd1sh","07/04/2024","XÓCHITL XÓCHITL XÓCHITL XÓCHITL XÓCHITL XÓCHITL  PRESIDENTA️️️","0.0","xochitl xochitl xochitl xochitl xochitl xochitl presidenta️️️"
"1.0","unotv","zarkraycsu5069","07/04/2024","37:51 ¿Violencia contra las mujeres? ¿En serio ese es un tema de vital importancia? ¿Por qué no mejor violencia contra hombres y mujeres? Vaya discriminadores (palabrita que tanto les gusta usar a diestra y siniestra) que salieron.","0.0","37:51¿violencia contra las mujeres?¿en serio ese es un tema de vital importancia?¿por qué no mejor violencia contra hombres y mujeres?vaya discriminadores(palabrita que tanto les gusta usar a diestra y siniestra)que salieron."
"1.0","unotv","ricardoramirez-qk6kh","07/04/2024","Maynez maynez presidente","0.0","maynez maynez presidente"
"1.0","unotv","balmoralmexico","07/04/2024","JAJAJAJAJAJAJAJAJAJAJ amo cuando Xochitil les tira !","0.0","jajajajajajajajajajaj amo cuando xochitil les tira!"
"1.0","unotv","imallanvalencia","07/04/2024","chulo chayote","0.0","chulo chayote"
"1.0","unotv","stephanieacosta2401","07/04/2024","Ojalá gane Xochitl","0.0","ojalá gane xochitl"
"2.0","unotv","ReynaKauil-zl5yo","28/04/2024","Xochitl solo se la paso atacando a Claudia","144.0","xochitl solo se la paso atacando a claudia"
