"num_debate","canal","username","fecha","comentario","num_likes","comentario_editado","Claudia","Maynez","Ninguno","Xóchitl"
"1","unotv","cesararturogonzalezhernand2066","07/04/2024","Claudiaaaaaaa presidentaaaaaaaaaaa.. No hay masssss...no hay masssssssssssss","1","claudiaaaaaaa presidentaaaaaaaaaaa..no hay masssss...no hay masssssssssssss","","","",""
"1","unotv","terricolav.g2715","07/04/2024","En bici eléctrica cualquiera , que le pedale la botarga, a pero ya uso casco para que no la critiquen","10","en bici eléctrica cualquiera,que le pedale la botarga,a pero ya uso casco para que no la critiquen","","","",""
"1","unotv","XIORODHER","07/04/2024","Quedé sorprendida. No iba a ir a votar perooooo VOTARE POR MAYNEZ","39","quedé sorprendida.no iba a ir a votar perooooo votare por maynez","","","",""
"1","unotv","Alistar540","07/04/2024","En el -1:17:40 Claudia la cago completamente, desde el segundo bloque mis espectativas de cayeron","1","en el-1:17:40 claudia la cagó completamente,desde el segundo bloque mis espectativas de cayeron","","","",""
"1","unotv","azucenareyesjimenez5009","07/04/2024","Directo al punto, las peleas las vemos en redes sociales","1","directo al punto,las peleas las vemos en redes sociales","","","",""
"1","unotv","karlacortes9905","07/04/2024","Que cinica es esa señora sheiban","10","que cinica es esa señora sheiban","","","",""
"1","unotv","leslyolvera8547","07/04/2024","Si Xochitl pone alraves la bandera que nos espera a nosotros que ponga de cabeza a México","6","si xochitl pone alraves la bandera que nos espera a nosotros que ponga de cabeza a méxico","","","",""
"1","unotv","user-rs5mf1nu8e","07/04/2024","A qué hora es el segundo debate?","0","a qué hora es el segundo debate?","","","",""
"1","unotv","edgardohernandez2810","07/04/2024","Para propuestas y respuestas las de Claudia sigamos con el cambio","1","para propuestas y respuestas las de claudia sigamos con el cambio","","","",""
"1","unotv","nefertarigonzalez688","07/04/2024","Si gana Claudia sigue al frente AMLO, esta historia me suena muy familiar","7","si gana claudia sigue al frente amlo,esta historia me suena muy familiar","","","",""
"1","unotv","germanmartinez1820","07/04/2024","Apoyo 100% Claudia","28","apoyo 100%claudia","","","",""
"1","unotv","blancasrvin7117","07/04/2024","Con $5,000 que les dará a las mujeres víctimas yo creo que si les alcanza para pagar el camión y cambiar de estado","1","con$5,000 que les dará a las mujeres víctimas yo creo que si les alcanza para pagar el camión y cambiar de estado","","","",""
"1","unotv","YoMommyMana","07/04/2024","""Cuando fuí jefa de gobierno ️""","1","""cuando fuí jefa de gobierno️""","","","",""
"1","unotv","AlondraTeresa-jc4qn","07/04/2024","Mi apoyo es para Claudia 🇲🇽","23","mi apoyo es para claudia🇲🇽","","","",""
"1","unotv","JosereneAguileraramirez","07/04/2024","Voto masivo a Morena !","19","voto masivo a morena!","","","",""
"1","unotv","ytancruz1035","07/04/2024","No se dirá  nada ..pero habrá señales . Xochitl: así como pongo la bandera de cabeza pondré al país .  Todos se quejaron, discutieron pero nadie dio respuestas concretas.  Una vez más votaré por nadie!","0","no se dirá nada..pero habrá señales.xochitl:así como pongo la bandera de cabeza pondré al país.todos se quejaron,discutieron pero nadie dio respuestas concretas.una vez más votaré por nadie!","","","",""
"1","unotv","JazminMendoza-kz5lx","07/04/2024","Que hace ?esa señora xochitl da pena ajena","2","que hace?esa señora xochitl da pena ajena","","","",""
"1","unotv","MariadelCarmenRamirez-yc8gw","07/04/2024","Claudia evadiendo las preguntas que le hacían pues no tenia como defenderse","9","claudia evadiendo las preguntas que le hacían pues no tenia como defenderse","","","",""
"1","unotv","robertoruiz6924","07/04/2024","Es verdad sobre qué hay más médicos y enfermeras estudiantes","7","es verdad sobre qué hay más médicos y enfermeras estudiantes","","","",""
"1","unotv","MiguelNK95","07/04/2024","xochitl me recuerda a cuando entraba chabelo en su programa con su bici jajajaja","1","xochitl me recuerda a cuando entraba chabelo en su programa con su bici jajajaja","","","",""
"1","unotv","franciscojavieroliverahern9773","07/04/2024","por que Xochil no saco que su hijo lo arrestaron","1","por que xochitl no saco que su hijo lo arrestaron","","","",""
"1","unotv","HibethMosqueda","07/04/2024","Claudia la mejor","18","claudia la mejor","","","",""
"1","unotv","SantaCachucha09","07/04/2024","Claudia muy ecuánime y segura. Y en lugar de responder, Gálvez sólo ataca.","35","claudia muy ecuánime y segura.y en lugar de responder,galvez sólo ataca.","","","",""
"1","unotv","reim8044","07/04/2024","la xochitl parece que esta enamorada y con la claudia porque en vez de proponer nomas le esta echando kk","1","la xochitl parece que esta enamorada y con la claudia porque en vez de proponer nomas le esta echando caca","","","",""
"1","unotv","andreameritmarincorcuera4216","07/04/2024","48.31 jasjajajas","0","48.31 jasjajajas","","","",""
"1","unotv","albertocarranza5663","07/04/2024","Apoyo total y  voto masivo para CLAUDIA SHEINBAUM y sus aliados.","60","apoyo total y voto masivo para claudia sheinbaum y sus aliados.","","","",""
"1","unotv","leonscottkennedy9105","07/04/2024","1:28:22 otras dos cubas","3","1:28:22 otras dos cubas","","","",""
"1","unotv","jorgejimeneznarcia1866","07/04/2024","Jajajaja le hicieron el corton a Claudia porque claramente apoyan a Xochitl xd","1","jajajaja le hicieron el corton a claudia porque claramente apoyan a xochitl xd","","","",""
"1","unotv","azucenareyesjimenez5009","07/04/2024","No mostraron los relojes al mismo tiempo solo ví partes del conteo","0","no mostraron los relojes al mismo tiempo solo ví partes del conteo","","","",""
"1","unotv","lucycruz3758","07/04/2024","Por el bien de México y por todos  nuestros niños , nuestro mejor opción es Claudia","67","por el bien de méxico y por todos nuestros niños,nuestro mejor opción es claudia","","","",""
"1","unotv","yamakisongs5257","07/04/2024","Lo unico que me entristeze es que tenemos gente incompetente como candidatos a la presidencia y los que verdaderamente controlan son las grandes corporaciones que buscan su beneficio","6","lo unico que me entristeze es que tenemos gente incompetente como candidatos a la presidencia y los que verdaderamente controlan son las grandes corporaciones que buscan su beneficio","","","",""
"1","unotv","user-vy5sc5px9m","07/04/2024","Cuando fue el Debate no fue hoy me lo perdi","0","cuando fue el debate no fue hoy me lo perdi","","","",""
"1","unotv","elizabethmp1572","07/04/2024","xochitl deberían de darle menos tiempo no dice nada bueno solo se la pasa tirando hate y sus propuestas ni ella misma sabe lo que está diciendo","1","xochitl deberían de darle menos tiempo no dice nada bueno solo se la pasa tirando odio y sus propuestas ni ella misma sabe lo que está diciendo","","","",""
"1","unotv","angelaleman5351","07/04/2024","Les quedó grande el debate a ambas candidatas, No escuché propuestas claras, No es lo mismo hacer spots que enfrentar un debate, Maynes no lo conocía, Pero me lleno el ojo, Ojalá la 4T siga porque ahí estara el pueblo.","9","les quedó grande el debate a ambas candidatas,no escuché propuestas claras,no es lo mismo hacer spots que enfrentar un debate,maynez no lo conocía,pero me lleno el ojo,ojalá la 4ta transformación siga porque ahí estara el pueblo.","","","",""
"1","unotv","albertotrejocarranza7667","07/04/2024","Apoyo total a Claudia Sheinbaum! ️️","22","apoyo total a claudia sheinbaum!️️","","","",""
"1","unotv","victorfalcon6572","07/04/2024","La frase infalible del PRI PS que se investigue como si tuviéramos un sistema judicial de primer mundo","2","la frase infalible del pri representado por xochitl pues que se investigue como si tuviéramos un sistema judicial de primer mundo","","","",""
"1","unotv","irismildred4849","07/04/2024","Eso no fué un ""Análisis del debate"" eso fué ATACANDO A CLAUDIA. Más claro que el agua, se escucharon muy ardidos y comprados. Muy mal como analistas un fracaso","1","eso no fué un""análisis del debate""eso fué atacando a claudia.más claro que el agua,se escucharon muy ardidos y comprados.muy mal como analistas un fracaso","","","",""
"1","unotv","emanuelmorales6032","07/04/2024","NINGUNO DE LOS 3","5","ninguno de los 3","","","",""
"1","unotv","erendalitrujillo9810","07/04/2024","A las personas que murieron??! Osea eso se puede","11","a las personas que murieron??!o sea eso se puede","","","",""
"1","unotv","alejandrarangel6558","07/04/2024","Cuando hablo Xochitl del odio que hay hacia algunos grupos, a la primera que se le veía el odio era de Xochitl hacia Claudia, entonces la primera que va a tener que tratarse psicologimente ante este problema es Xochitl, jajaja","1","cuando hablo xochitl del odio que hay hacia algunos grupos,a la primera que se le veía el odio era de xochitl hacia claudia,entonces la primera que va a tener que tratarse psicologimente ante este problema es xochitl,jajaja","","","",""
"1","unotv","alejandrobuendiaregalado2479","07/04/2024","El minuto final de la señora xochitl se la paso leyendo","1","el minuto final de la señora xochitl se la paso leyendo","","","",""
"1","unotv","susanagonzalezcruz9193","07/04/2024","Más profesores de inclusión educativa en educación básica por favor urgente para los niños","10","más profesores de inclusión educativa en educación básica por favor urgente para los niños","","","",""
